feature_id,feature,primary_role,route_family,data_domain,data_sensitivity,maturity,launch_status
MKT-003,Teacher Offers,Teacher,/marketplace/offers,marketplace_bookings,High,Validated Beta,Beta
MKT-004,Booking / Schedule,Learner/Teacher,/bookings,marketplace_bookings,High,Production V1,Launch
MKT-005,Controlled Session Messaging,Learner/Teacher,/bookings/*/messages,marketplace_bookings,Very High,Foundation,Limited
MKT-006,Reviews / Disputes,Learner/Teacher,/bookings/*/review,marketplace_bookings,High,Validated Beta,Beta
MKT-007,Fixed Classes,Learner/Teacher,/classes,marketplace_bookings,High,Validated Beta,Beta
COM-001,Plans / Entitlements,Learner,/account/plan,payments_subscriptions,High,Production V1,Launch
COM-002,Orders / Billing / Receipts,Learner,/account/billing,payments_subscriptions,Very High,Production V1,Launch
COM-003,ZarinPal Payment,Learner,/checkout,payments_subscriptions,Very High,Production V1,Launch gate
COM-004,Refunds,Admin/Support,/operations/refunds,payments_subscriptions,Very High,Production V1,Launch
COM-005,Teacher Earnings Ledger,Teacher/Admin,/teacher/account/earnings,payments_subscriptions,Very High,Production V1,Launch
COM-006,Teacher Payout Requests,Teacher/Admin,/teacher/account/payouts,payments_subscriptions,Very High,Foundation,Manual review
IELTS-001,IELTS Content Model / Review,Editor/Admin,/operations/ielts,ielts_assessment,High,Production V1,Launch
IELTS-002,Listening / Reading Simulation,Learner,/ielts/practice,ielts_assessment,High,Production V1,Launch
IELTS-003,Writing Simulation,Learner,/ielts/writing,ielts_assessment,Very High,Production V1,Launch
IELTS-004,Writing Evaluation,Learner,/ielts/writing/report,ielts_assessment,Very High,Validated Beta,Beta
IELTS-005,Speaking Simulation / Evaluation,Learner,/ielts/speaking,ielts_assessment,Very High,Validated Beta,Beta
CONTENT-001,Taxonomy,Editor/Admin,/operations/taxonomy,content_taxonomy,Medium,Production V1,Launch
CONTENT-002,Versioned Question Bank,Editor/Admin,/operations/questions,content_taxonomy,High,Production V1,Launch
CONTENT-003,Course CMS,Editor/Admin,/operations/courses,content_taxonomy,Medium,Production V1,Launch
CONTENT-004,Culture / Blog / Skills Content,Editor/Admin,/operations/content,content_taxonomy,Medium,Production V1,Launch
COMM-001,Learner Posts,Learner,/community,community_moderation,High,Foundation,Off by default
COMM-002,Comments / Reactions,Learner/Teacher,/community/*,community_moderation,High,Foundation,Off by default
COMM-003,Reports / Moderation,Learner/Teacher/Admin,/community/report,community_moderation,High,Production V1,Launch foundation
OPS-001,Django Admin / Operations Console,Admin,/admin,operations_audit,Very High,Production V1,Launch
OPS-002,Feature Flags,Admin,/operations/flags,operations_audit,High,Production V1,Launch
OPS-003,Audit Logs,Admin,/operations/audit,operations_audit,Very High,Production V1,Launch
OPS-004,Support Tickets,Support/Admin,/support,operations_audit,Very High,Production V1,Launch
OPS-005,AI Model / Prompt Registry,Admin,/operations/ai,operations_audit,High,Production V1,Launch
OPS-006,Notifications,Learner/Teacher,/account/notifications,operations_audit,High,Production V1,Launch
OPS-007,Product Analytics,Admin,/operations/analytics,operations_audit,Medium,Production V1,Launch
OPS-008,PWA / Low-bandwidth / Offline-safe Drafts,Learner/Teacher,Application-wide,operations_audit,High,Production V1,Launch
OPS-009,Backups / Restore / Monitoring / Incident Response,Admin,Operations,operations_audit,Very High,Production V1,Launch gate
OPS-010,Staging / DNS / HTTPS,Admin,Infrastructure,operations_audit,Very High,Production V1,Launch gate
POST-001,Scientifically Validated Official CEFR Placement Claims,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-002,Official IELTS Examiner-equivalent Scoring,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-003,Robust Phoneme-level Pronunciation Diagnosis,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-004,Native iOS / Android Apps,N/A,N/A,future_scope,Medium,Post-60 Scale,Do not ship
POST-005,Real-time Multiplayer Games,N/A,N/A,future_scope,Medium,Post-60 Scale,Do not ship
POST-006,Unrestricted Direct Messaging / Public Chat,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-007,Webcam Proctoring,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-008,Full School ERP / Attendance Management,N/A,N/A,future_scope,High,Post-60 Scale,Do not ship
POST-009,Copyright-heavy Book Download Catalogue,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-010,Externally Accredited Certificates,N/A,N/A,future_scope,Very High,Post-60 Scale,Do not ship
POST-011,Large-city Instant Marketplace Promise,N/A,N/A,future_scope,High,Post-60 Scale,Do not ship
