feature_id,feature,primary_role,route_family,navigation_owner,route_guard,primary_cta,secondary_actions,data_domain,data_sensitivity,maturity,launch_status,offline_need,analytics_event,deep_link_contract,required_states
PUB-011,IELTS Hub,Visitor,/ielts,Public,public,Open IELTS Hub,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_011,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
ACC-001,Registration / Login / Password Recovery,Learner/Teacher,/auth/*,Account,authenticated:learner|teacher,Open Registration / Login / Password Recovery,Context-specific; keep secondary to one primary CTA,accounts_profiles,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_acc_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
ACC-002,Email / Iranian Mobile Verification,Learner/Teacher,/auth/verify,Account,authenticated:learner|teacher,Open Email / Iranian Mobile Verification,Context-specific; keep secondary to one primary CTA,accounts_profiles,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_acc_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
ACC-003,Role Selection,Learner/Teacher,/onboarding/role,Account,authenticated:learner|teacher,Open Role Selection,Context-specific; keep secondary to one primary CTA,accounts_profiles,Medium,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_acc_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
ACC-004,Consent History,Learner/Teacher,/account/privacy,Account,authenticated:learner|teacher,Open Consent History,Context-specific; keep secondary to one primary CTA,accounts_profiles,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_acc_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
ACC-005,Profile / Sessions / Data Controls,Learner/Teacher,/account/*,Account,authenticated:learner|teacher,Open Profile / Sessions / Data Controls,Context-specific; keep secondary to one primary CTA,accounts_profiles,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_acc_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-001,Learner Dashboard / Today,Learner,/learner,Learner,authenticated:learner,Continue today's next action,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-002,Placement Test,Learner,/placement,Learner,authenticated:learner,Start / Resume placement,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,interruption-safe draft/resume required,route_view_learn_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-003,Placement Report / CEFR Estimate,Learner,/placement/report,Learner,authenticated:learner,Open Placement Report / CEFR Estimate,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,interruption-safe draft/resume required,route_view_learn_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-004,Learner Twin,Learner,/learner/twin,Learner,authenticated:learner,Open Learner Twin,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_learn_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-005,Personal Learning Path,Learner,/learner/path,Learner,authenticated:learner,Continue learning path,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-006,Daily Mission,Learner,/learner/today,Learner,authenticated:learner,Continue today's mission,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-007,AI Practice Engine,Learner,/learner/practice,Learner,authenticated:learner,Start practice,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,interruption-safe draft/resume required,route_view_learn_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-008,Vocabulary / SRS,Learner,/learner/vocabulary,Learner,authenticated:learner,Open Vocabulary / SRS,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_008,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-009,Mistake Genome,Learner,/learner/mistakes,Learner,authenticated:learner,Open Mistake Genome,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_learn_009,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-010,Writing Mentor,Learner,/learner/writing,Learner,authenticated:learner,Open Writing Mentor,Context-specific; keep secondary to one primary CTA,learning_evidence,Very High,Validated Beta,Beta,interruption-safe draft/resume required,route_view_learn_010,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-011,Text Roleplay,Learner,/learner/roleplay,Learner,authenticated:learner,Open Text Roleplay,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_learn_011,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-012,Conversation History / Controlled AI Memory,Learner,/learner/conversations,Learner,authenticated:learner,Open Conversation History / Controlled AI Memory,Context-specific; keep secondary to one primary CTA,learning_evidence,Very High,Foundation,Off by default,no sensitive browser persistence; server-resume only,route_view_learn_012,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-013,Voice Conversation,Learner,/learner/voice,Learner,authenticated:learner,Open Voice Conversation,Context-specific; keep secondary to one primary CTA,learning_evidence,Very High,Validated Beta,Beta,interruption-safe draft/resume required,route_view_learn_013,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-014,Pronunciation Lab,Learner,/learner/pronunciation,Learner,authenticated:learner,Open Pronunciation Lab,Context-specific; keep secondary to one primary CTA,learning_evidence,Very High,Validated Beta,Beta,no sensitive browser persistence; server-resume only,route_view_learn_014,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-015,Progress Analytics,Learner,/learner/progress,Learner,authenticated:learner,Open Progress Analytics,Context-specific; keep secondary to one primary CTA,learning_evidence,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_015,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-016,XP / Levels / Streaks,Learner,/learner/achievements,Learner,authenticated:learner,Open XP / Levels / Streaks,Context-specific; keep secondary to one primary CTA,learning_evidence,Medium,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_learn_016,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-017,Badges / Challenges,Learner,/learner/achievements,Learner,authenticated:learner,Open Badges / Challenges,Context-specific; keep secondary to one primary CTA,learning_evidence,Medium,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_learn_017,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
LEARN-018,Leaderboards / Clubs,Learner,/learner/community,Learner,authenticated:learner,Open Leaderboards / Clubs,Context-specific; keep secondary to one primary CTA,learning_evidence,Medium,Foundation,Off by default,degraded/empty/offline state required where relevant,route_view_learn_018,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-001,Teacher Dashboard,Teacher,/teacher,Teacher,authenticated:teacher,Open Teacher Dashboard,Context-specific; keep secondary to one primary CTA,teacher_workspace,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_teach_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-002,Teacher Profile / Verification,Teacher,/teacher/profile,Teacher,authenticated:teacher,Open Teacher Profile / Verification,Context-specific; keep secondary to one primary CTA,teacher_workspace,Very High,Production V1,Launch,no sensitive browser persistence; server-resume only,route_view_teach_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-003,Students / Linked Learners,Teacher,/teacher/students,Teacher,authenticated:teacher,Open Students / Linked Learners,Context-specific; keep secondary to one primary CTA,teacher_workspace,Very High,Production V1,Launch,no sensitive browser persistence; server-resume only,route_view_teach_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-004,Classes / Teaching History / Hours,Teacher,/teacher/classes,Teacher,authenticated:teacher,Open Classes / Teaching History / Hours,Context-specific; keep secondary to one primary CTA,teacher_workspace,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_teach_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-005,Question Bank Upload,Teacher,/teacher/questions,Teacher,authenticated:teacher,Open Question Bank Upload,Context-specific; keep secondary to one primary CTA,teacher_workspace,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_teach_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-006,Assignments,Teacher,/teacher/assignments,Teacher,authenticated:teacher,Create assignment,Context-specific; keep secondary to one primary CTA,teacher_workspace,High,Production V1,Launch,interruption-safe draft/resume required,route_view_teach_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-007,Submission / Grading / Feedback,Teacher,/teacher/grading,Teacher,authenticated:teacher,Open Submission / Grading / Feedback,Context-specific; keep secondary to one primary CTA,teacher_workspace,Very High,Production V1,Launch,no sensitive browser persistence; server-resume only,route_view_teach_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
TEACH-008,Teacher Resources / Experiences,Teacher,/teacher/resources,Teacher,authenticated:teacher,Open Teacher Resources / Experiences,Context-specific; keep secondary to one primary CTA,teacher_workspace,Medium,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_teach_008,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-001,Teacher Directory / Follow,Learner/Teacher,/teachers,Marketplace,authenticated:learner|teacher,Open Teacher Directory / Follow,Context-specific; keep secondary to one primary CTA,marketplace_bookings,Medium,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_mkt_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-002,Learn Now Requests / Matching,Learner/Teacher,/marketplace/requests,Marketplace,authenticated:learner|teacher,Create Learn Now request,Context-specific; keep secondary to one primary CTA,marketplace_bookings,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_mkt_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-003,Teacher Offers,Teacher,/marketplace/offers,Marketplace,authenticated:teacher,Open Teacher Offers,Context-specific; keep secondary to one primary CTA,marketplace_bookings,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_mkt_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-004,Booking / Schedule,Learner/Teacher,/bookings,Marketplace,authenticated:learner|teacher,Open Booking / Schedule,Context-specific; keep secondary to one primary CTA,marketplace_bookings,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_mkt_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-005,Controlled Session Messaging,Learner/Teacher,/bookings/*/messages,Marketplace,authenticated:learner|teacher,Open Controlled Session Messaging,Context-specific; keep secondary to one primary CTA,marketplace_bookings,Very High,Foundation,Limited,no sensitive browser persistence; server-resume only,route_view_mkt_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-006,Reviews / Disputes,Learner/Teacher,/bookings/*/review,Marketplace,authenticated:learner|teacher,Open Reviews / Disputes,Context-specific; keep secondary to one primary CTA,marketplace_bookings,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_mkt_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
MKT-007,Fixed Classes,Learner/Teacher,/classes,Marketplace,authenticated:learner|teacher,View / enroll in class,Context-specific; keep secondary to one primary CTA,marketplace_bookings,High,Validated Beta,Beta,degraded/empty/offline state required where relevant,route_view_mkt_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-001,Plans / Entitlements,Learner,/account/plan,Commerce,authenticated:learner,View Premium plan,Context-specific; keep secondary to one primary CTA,payments_subscriptions,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_com_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-002,Orders / Billing / Receipts,Learner,/account/billing,Commerce,authenticated:learner,View billing history,Context-specific; keep secondary to one primary CTA,payments_subscriptions,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_com_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-003,ZarinPal Payment,Learner,/checkout,Commerce,authenticated:learner,Open ZarinPal Payment,Context-specific; keep secondary to one primary CTA,payments_subscriptions,Very High,Production V1,Launch gate,read/retry only; sensitive writes require server confirmation,route_view_com_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-004,Refunds,Admin/Support,/operations/refunds,Commerce,authenticated:support|admin,Open Refunds,Context-specific; keep secondary to one primary CTA,payments_subscriptions,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_com_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-005,Teacher Earnings Ledger,Teacher/Admin,/teacher/account/earnings,Commerce,authenticated:teacher|admin,Open Teacher Earnings Ledger,Context-specific; keep secondary to one primary CTA,payments_subscriptions,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_com_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COM-006,Teacher Payout Requests,Teacher/Admin,/teacher/account/payouts,Commerce,authenticated:teacher|admin,Open Teacher Payout Requests,Context-specific; keep secondary to one primary CTA,payments_subscriptions,Very High,Foundation,Manual review,read/retry only; sensitive writes require server confirmation,route_view_com_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
IELTS-001,IELTS Content Model / Review,Editor/Admin,/operations/ielts,IELTS,authenticated:editor|admin,Open IELTS Content Model / Review,Context-specific; keep secondary to one primary CTA,ielts_assessment,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_ielts_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
IELTS-002,Listening / Reading Simulation,Learner,/ielts/practice,IELTS,authenticated:learner,Start practice attempt,Context-specific; keep secondary to one primary CTA,ielts_assessment,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_ielts_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
IELTS-003,Writing Simulation,Learner,/ielts/writing,IELTS,authenticated:learner,Open Writing Simulation,Context-specific; keep secondary to one primary CTA,ielts_assessment,Very High,Production V1,Launch,interruption-safe draft/resume required,route_view_ielts_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
IELTS-004,Writing Evaluation,Learner,/ielts/writing/report,IELTS,authenticated:learner,Open Writing Evaluation,Context-specific; keep secondary to one primary CTA,ielts_assessment,Very High,Validated Beta,Beta,interruption-safe draft/resume required,route_view_ielts_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
IELTS-005,Speaking Simulation / Evaluation,Learner,/ielts/speaking,IELTS,authenticated:learner,Open Speaking Simulation / Evaluation,Context-specific; keep secondary to one primary CTA,ielts_assessment,Very High,Validated Beta,Beta,no sensitive browser persistence; server-resume only,route_view_ielts_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
CONTENT-001,Taxonomy,Editor/Admin,/operations/taxonomy,Learning/Content,authenticated:editor|admin,Open Taxonomy,Context-specific; keep secondary to one primary CTA,content_taxonomy,Medium,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_content_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
CONTENT-002,Versioned Question Bank,Editor/Admin,/operations/questions,Learning/Content,authenticated:editor|admin,Open Versioned Question Bank,Context-specific; keep secondary to one primary CTA,content_taxonomy,High,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_content_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
CONTENT-003,Course CMS,Editor/Admin,/operations/courses,Learning/Content,authenticated:editor|admin,Open Course CMS,Context-specific; keep secondary to one primary CTA,content_taxonomy,Medium,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_content_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
CONTENT-004,Culture / Blog / Skills Content,Editor/Admin,/operations/content,Learning/Content,authenticated:editor|admin,Open Culture / Blog / Skills Content,Context-specific; keep secondary to one primary CTA,content_taxonomy,Medium,Production V1,Launch,degraded/empty/offline state required where relevant,route_view_content_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COMM-001,Learner Posts,Learner,/community,Community/Moderation,authenticated:learner,Open Learner Posts,Context-specific; keep secondary to one primary CTA,community_moderation,High,Foundation,Off by default,degraded/empty/offline state required where relevant,route_view_comm_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COMM-002,Comments / Reactions,Learner/Teacher,/community/*,Community/Moderation,authenticated:learner|teacher,Open Comments / Reactions,Context-specific; keep secondary to one primary CTA,community_moderation,High,Foundation,Off by default,degraded/empty/offline state required where relevant,route_view_comm_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
COMM-003,Reports / Moderation,Learner/Teacher/Admin,/community/report,Community/Moderation,authenticated:learner|teacher|admin,Open Reports / Moderation,Context-specific; keep secondary to one primary CTA,community_moderation,High,Production V1,Launch foundation,degraded/empty/offline state required where relevant,route_view_comm_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-001,Django Admin / Operations Console,Admin,/admin,Operations,authenticated:admin,Open Django Admin / Operations Console,Context-specific; keep secondary to one primary CTA,operations_audit,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-002,Feature Flags,Admin,/operations/flags,Operations,authenticated:admin,Open Feature Flags,Context-specific; keep secondary to one primary CTA,operations_audit,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-003,Audit Logs,Admin,/operations/audit,Operations,authenticated:admin,Open Audit Logs,Context-specific; keep secondary to one primary CTA,operations_audit,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-004,Support Tickets,Support/Admin,/support,Operations,authenticated:support|admin,Open Support Tickets,Context-specific; keep secondary to one primary CTA,operations_audit,Very High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-005,AI Model / Prompt Registry,Admin,/operations/ai,Operations,authenticated:admin,Open AI Model / Prompt Registry,Context-specific; keep secondary to one primary CTA,operations_audit,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-006,Notifications,Learner/Teacher,/account/notifications,Operations,authenticated:learner|teacher,Open Notifications,Context-specific; keep secondary to one primary CTA,operations_audit,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-007,Product Analytics,Admin,/operations/analytics,Operations,authenticated:admin,Open Product Analytics,Context-specific; keep secondary to one primary CTA,operations_audit,Medium,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-008,PWA / Low-bandwidth / Offline-safe Drafts,Learner/Teacher,Application-wide,Operations,authenticated:learner|teacher,Open PWA / Low-bandwidth / Offline-safe Drafts,Context-specific; keep secondary to one primary CTA,operations_audit,High,Production V1,Launch,read/retry only; sensitive writes require server confirmation,route_view_ops_008,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
OPS-009,Backups / Restore / Monitoring / Incident Response,Admin,Operations,Operations,authenticated:admin,Open Backups / Restore / Monitoring / Incident Response,Context-specific; keep secondary to one primary CTA,operations_audit,Very High,Production V1,Launch gate,read/retry only; sensitive writes require server confirmation,route_view_ops_009,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
