feature_id,family,feature,primary_role,route_family,maturity,launch_status,data_sensitivity,notes
OPS-008,Operations,PWA / Low-bandwidth / Offline-safe Drafts,Learner/Teacher,Application-wide,Production V1,Launch,High,Resumable workflows and degraded states.
OPS-009,Operations,Backups / Restore / Monitoring / Incident Response,Admin,Operations,Production V1,Launch gate,Very High,Required before paid production.
OPS-010,Operations,Staging / DNS / HTTPS,Admin,Infrastructure,Production V1,Launch gate,Very High,IRNIC changes only after staging exists.
POST-001,Post-60,Scientifically Validated Official CEFR Placement Claims,N/A,N/A,Post-60 Scale,Do not ship,Very High,Requires expert calibration and validation.
POST-002,Post-60,Official IELTS Examiner-equivalent Scoring,N/A,N/A,Post-60 Scale,Do not ship,Very High,No official-score claims without validation/authorization.
POST-003,Post-60,Robust Phoneme-level Pronunciation Diagnosis,N/A,N/A,Post-60 Scale,Do not ship,Very High,Requires validation across accents.
POST-004,Post-60,Native iOS / Android Apps,N/A,N/A,Post-60 Scale,Do not ship,Medium,PWA first.
POST-005,Post-60,Real-time Multiplayer Games,N/A,N/A,Post-60 Scale,Do not ship,Medium,Not core launch retention.
POST-006,Post-60,Unrestricted Direct Messaging / Public Chat,N/A,N/A,Post-60 Scale,Do not ship,Very High,Child-safety and moderation risk.
POST-007,Post-60,Webcam Proctoring,N/A,N/A,Post-60 Scale,Do not ship,Very High,Privacy/high-stakes risk.
POST-008,Post-60,Full School ERP / Attendance Management,N/A,N/A,Post-60 Scale,Do not ship,High,Outside core product loop.
POST-009,Post-60,Copyright-heavy Book Download Catalogue,N/A,N/A,Post-60 Scale,Do not ship,Very High,Licensing risk.
POST-010,Post-60,Externally Accredited Certificates,N/A,N/A,Post-60 Scale,Do not ship,Very High,Requires authorization.
POST-011,Post-60,Large-city Instant Marketplace Promise,N/A,N/A,Post-60 Scale,Do not ship,High,Requires proven supply/liquidity.
